"","goalkeeper","penalties","goal","save","miss"
"Unai Simon","Unai Simon",22,59.0909090909091,36.3636363636364,4.54545454545455
"Jason Steele","Jason Steele",18,61.1111111111111,33.3333333333333,5.55555555555556
"Nestoras Gekas","Nestoras Gekas",18,50,33.3333333333333,16.6666666666667
"Egor Shamov","Egor Shamov",22,59.0909090909091,31.8181818181818,9.09090909090909
"Stanislav Antipin","Stanislav Antipin",29,62.0689655172414,31.0344827586207,6.89655172413793
"Beto","Beto",23,60.8695652173913,30.4347826086957,8.69565217391304
"Andrey Ryzhikov","Andrey Ryzhikov",25,60,28,12
"Vaclav Hladky","Vaclav Hladky",18,55.5555555555556,27.7777777777778,16.6666666666667
"Marvin Schwabe","Marvin Schwabe",19,73.6842105263158,26.3157894736842,0
"Gianluigi Donnarumma","Gianluigi Donnarumma",23,60.8695652173913,26.0869565217391,13.0434782608696
"Eldin Jakupovic","Eldin Jakupovic",24,66.6666666666667,25,8.33333333333333
"Teitur Gestsson","Teitur Gestsson",26,76.9230769230769,23.0769230769231,0
"Lubomir Belko","Lubomir Belko",22,68.1818181818182,22.7272727272727,9.09090909090909
"Caoimhin Kelleher","Caoimhin Kelleher",27,74.0740740740741,22.2222222222222,3.7037037037037
"Danny Ward","Danny Ward",18,61.1111111111111,22.2222222222222,16.6666666666667
"Ivan Rehak","Ivan Rehak",18,72.2222222222222,22.2222222222222,5.55555555555556
"John Ruddy","John Ruddy",18,61.1111111111111,22.2222222222222,16.6666666666667
"Paolo Branduani","Paolo Branduani",18,66.6666666666667,22.2222222222222,11.1111111111111
"Alexander Meyer","Alexander Meyer",23,69.5652173913043,21.7391304347826,8.69565217391304
"Lee Nicholls","Lee Nicholls",23,65.2173913043478,21.7391304347826,13.0434782608696
"Simon Mignolet","Simon Mignolet",24,75,20.8333333333333,4.16666666666667
"Dominik Livakovic","Dominik Livakovic",20,70,20,10
"Jordan Pickford","Jordan Pickford",20,75,20,5
"Anthony Martin","Anthony Martin",26,80.7692307692308,19.2307692307692,0
"Bojan Zogovic","Bojan Zogovic",26,80.7692307692308,19.2307692307692,0
"Artur Nigmatullin","Artur Nigmatullin",21,76.1904761904762,19.047619047619,4.76190476190476
"Lukas Hradecky","Lukas Hradecky",21,61.9047619047619,19.047619047619,19.047619047619
"Hobie Verhulst","Hobie Verhulst",22,72.7272727272727,18.1818181818182,9.09090909090909
"Timo Horn","Timo Horn",22,77.2727272727273,18.1818181818182,4.54545454545455
"William Dutoit","William Dutoit",22,68.1818181818182,18.1818181818182,13.6363636363636
"Kepa Arrizabalaga","Kepa Arrizabalaga",29,68.9655172413793,17.2413793103448,13.7931034482759
"Leandro Chichizola","Leandro Chichizola",18,61.1111111111111,16.6666666666667,22.2222222222222
"Scott Carson","Scott Carson",24,83.3333333333333,16.6666666666667,0
"Mark Gillespie","Mark Gillespie",31,77.4193548387097,16.1290322580645,6.45161290322581
"Ioannis Gelios","Ioannis Gelios",19,78.9473684210526,15.7894736842105,5.26315789473684
"Géza Turi","Géza Turi",20,80,15,5
"Manuel Neuer","Manuel Neuer",20,70,15,15
"Nathan Vaughan","Nathan Vaughan",20,80,15,5
"Nikolay Moskalenko","Nikolay Moskalenko",20,70,15,15
"Sergio Romero","Sergio Romero",20,80,15,5
"Anton Antipov","Anton Antipov",21,71.4285714285714,14.2857142857143,14.2857142857143
"Aleksandr Kobzev","Aleksandr Kobzev",31,77.4193548387097,12.9032258064516,9.67741935483871
"Pavao Pervan","Pavao Pervan",24,75,12.5,12.5
"Yann Sommer","Yann Sommer",32,81.25,12.5,6.25
"Artur Anisimov","Artur Anisimov",26,76.9230769230769,11.5384615384615,11.5384615384615
"Rui Patricio","Rui Patricio",18,83.3333333333333,11.1111111111111,5.55555555555556
"Simon Thomas","Simon Thomas",18,72.2222222222222,11.1111111111111,16.6666666666667
"Edouard Mendy","Edouard Mendy",37,81.0810810810811,10.8108108108108,8.10810810810811
"Joel Robles","Joel Robles",19,84.2105263157895,10.5263157894737,5.26315789473684
"Angus Gunn","Angus Gunn",30,86.6666666666667,10,3.33333333333333
"Anuar Sapargaliev","Anuar Sapargaliev",20,85,10,5
"Aaron Chapman","Aaron Chapman",25,92,8,0
"Anton Sytnykov","Anton Sytnykov",20,75,0,25
"David De Gea","David De Gea",18,94.4444444444444,0,5.55555555555556
"Mirko Salvi","Mirko Salvi",18,77.7777777777778,0,22.2222222222222
