"","order","penalties","goal","last","last_cumsum","pot_win","pot_win_cumsum","pot_lose","pot_lose_cumsum","only_sh"
"1",1,1759,77.2,0,0,0,0,0,0,58.67
"2",2,1759,76.29,0,0,0,0,0,0,57.87
"3",3,1759,72.54,0,0,0,0,0,0,71.35
"4",4,1759,75.9,0,0,0,0,0,0,71.46
"5",5,1759,75.04,0,0,0,0,0,0,75.61
"6",6,1759,74.02,1.31,1.31,0.85,0.85,1.86,1.86,74.76
"7",7,1736,72.81,6.37,7.68,6.31,7.16,5.06,6.92,78.46
"8",8,1624,73.52,13.93,21.61,13.73,20.89,13.33,20.24,78.57
"9",9,1379,74.62,21.66,43.27,26.15,47.04,16.58,36.82,68.96
"10",10,998,75.85,26.61,69.88,30.55,77.6,22.48,59.3,71.24
"11",11,530,74.53,0,69.88,0,77.6,0,59.3,85.85
"12",12,530,76.6,11.88,81.76,8.87,86.47,16.66,75.96,88.3
"13",13,321,78.19,0,81.76,0,86.47,0,75.96,91.59
"14",14,321,69.16,6.88,88.64,4.6,91.06,10.59,86.55,92.83
"15",15,200,73,0,88.64,0,91.06,0,86.55,94
"16",16,200,70.5,5.4,94.04,3.55,94.61,6.16,92.7,93
"17",17,105,61.9,0,94.04,0,94.61,0,92.7,93.33
"18",18,105,80,2.79,96.83,2.63,97.24,2.74,95.44,95.24
"19",19,56,69.64,0,96.83,0,97.24,0,95.44,96.43
"20",20,56,69.64,1.14,97.97,1.12,98.36,1.64,97.09,96.43
"21",21,36,80.56,0,97.97,0,98.36,0,97.09,83.33
"22",22,36,72.22,0.63,98.6,0.46,98.82,1.22,98.31,80.56
"23",23,25,68,0,98.6,0,98.82,0,98.31,68
"24",24,25,84,0.68,99.28,0.53,99.34,0.72,99.03,56
"25",25,13,92.31,0,99.28,0,99.34,0,99.03,84.62
"26",26,13,84.62,0.17,99.45,0.07,99.41,0.51,99.54,69.23
"27",27,10,60,0,99.45,0,99.41,0,99.54,80
"28",28,10,90,0.17,99.62,0.26,99.67,0.25,99.79,70
"29",29,7,71.43,0,99.62,0,99.67,0,99.79,71.43
"30",30,7,71.43,0.23,99.85,0.13,99.8,0.21,100,71.43
"31",31,3,0,0,99.85,0,99.8,0,100,100
"32",32,3,100,0.17,100.02,0.2,100,0,100,66.67
